time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-26T20:08:51.290Z,19.3635,-154.9891667,5.8,2.89,ml,35,212,0.07122,0.11,hv,hv70564787,2018-08-27T22:07:42.300Z,"13km SSW of Leilani Estates, Hawaii",earthquake,0.68,0.42,0.163,33,reviewed,hv,hv
2018-08-26T19:58:25.380Z,-11.2576,-70.6951,610.48,4.8,mb,,78,4.027,1.13,us,us1000ghnw,2018-08-26T20:15:02.040Z,"121km W of Iberia, Peru",earthquake,12.8,7.6,0.114,24,reviewed,us,us
2018-08-26T19:48:21.463Z,56.2188,-150.0875,6.4,3,ml,,,,0.85,ak,ak20223933,2018-08-26T23:39:35.610Z,"224km SE of Kodiak, Alaska",earthquake,,3.5,,,reviewed,ak,ak
2018-08-26T19:42:50.047Z,69.5637,-144.3551,0,2.7,ml,,,,0.89,ak,ak20223928,2018-08-26T20:28:55.040Z,"69km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-08-26T18:52:49.000Z,18.2071,-67.566,9,2.66,md,9,319,0.4812,0.38,pr,pr2018238006,2018-08-26T21:15:36.590Z,"36km WSW of Rincon, Puerto Rico",earthquake,3.29,2.009,0.51,9,reviewed,pr,pr
2018-08-26T17:57:49.080Z,40.2913333,-124.5805,18.01,3.03,ml,39,239,0.2264,0.13,nc,nc73076125,2018-08-28T03:27:02.950Z,"25km W of Petrolia, CA",earthquake,1,0.38,0.299,21,reviewed,nc,nc
2018-08-26T17:49:00.380Z,36.4148333,-120.2725,6.03,2.48,md,51,90,0.05167,0.12,nc,nc73076120,2018-08-28T02:21:04.366Z,"11km SSE of Cantua Creek, CA",earthquake,0.37,0.2,0.154,72,reviewed,nc,nc
2018-08-26T17:31:02.720Z,19.1775,-64.53,39,3.37,md,7,340,1.6767,0.44,pr,pr2018238005,2018-08-26T21:15:13.318Z,"84km N of Road Town, British Virgin Islands",earthquake,5.92,34.21,0.24,4,reviewed,pr,pr
2018-08-26T16:42:06.650Z,19.1663,-65.522,29,3.03,md,5,321,1.0248,0.43,pr,pr2018238004,2018-08-26T21:14:58.110Z,"88km NNE of Vieques, Puerto Rico",earthquake,3.63,30.35,0.21,2,reviewed,pr,pr
2018-08-26T16:09:13.790Z,-22.2027,170.179,37.54,5.4,mww,,78,2.561,1,us,us1000ghm0,2018-08-26T16:52:45.040Z,"194km W of Ile Hunter, New Caledonia",earthquake,11.8,6,0.073,18,reviewed,us,us
2018-08-26T15:56:22.840Z,-23.0941,-66.8527,254.72,4.5,mb,,91,1.229,0.62,us,us1000ghlx,2018-08-26T16:49:48.040Z,"119km W of El Aguilar, Argentina",earthquake,10.1,11,0.384,2,reviewed,us,us
2018-08-26T15:26:32.350Z,-7.592,127.932,160.36,4.5,mb,,31,3.358,0.64,us,us1000ghln,2018-08-26T16:37:51.040Z,"281km ENE of Dili, East Timor",earthquake,6.1,7.2,0.113,23,reviewed,us,us
